date,lat,lon,tmax
1970-04-27,42.5,-70.5,18.946007
1970-04-28,41.5,-71.5,20.009926
1970-04-28,41.5,-70.5,17.171478
1970-04-28,42.5,-71.5,23.356596
1970-04-28,42.5,-70.5,18.546312
1970-04-29,41.5,-71.5,19.292068
1970-04-29,41.5,-70.5,15.965761
1970-04-29,42.5,-71.5,21.765457
1970-04-29,42.5,-70.5,16.135963
1970-04-30,41.5,-71.5,17.116693
1970-04-30,41.5,-70.5,14.32319
1970-04-30,42.5,-71.5,21.024136
1970-04-30,42.5,-70.5,15.685661
1970-05-01,41.5,-71.5,19.289051
1970-05-01,41.5,-70.5,16.542017
1970-05-01,42.5,-71.5,22.971992
1970-05-01,42.5,-70.5,18.498661
1970-05-02,41.5,-71.5,20.415686
1970-05-02,41.5,-70.5,17.837305
1970-05-02,42.5,-71.5,24.106752
1970-05-02,42.5,-70.5,19.539696
1970-05-03,41.5,-71.5,18.274525
1970-05-03,41.5,-70.5,16.078672
1970-05-03,42.5,-71.5,21.160147
1970-05-03,42.5,-70.5,16.86014
1970-05-04,41.5,-71.5,15.047494
1970-05-04,41.5,-70.5,13.262491
1970-05-04,42.5,-71.5,16.626236
1970-05-04,42.5,-70.5,13.316132
1970-05-05,41.5,-71.5,17.385828
1970-05-05,41.5,-70.5,15.009043
1970-05-05,42.5,-71.5,19.927008
1970-05-05,42.5,-70.5,16.060055
1970-05-06,41.5,-71.5,15.655772
1970-05-06,41.5,-70.5,13.48774
1970-05-06,42.5,-71.5,18.306034
1970-05-06,42.5,-70.5,13.975854
1970-05-07,41.5,-71.5,13.080373
1970-05-07,41.5,-70.5,11.626127
1970-05-07,42.5,-71.5,13.614446
1970-05-07,42.5,-70.5,10.975015
1970-05-08,41.5,-71.5,17.07345
1970-05-08,41.5,-70.5,15.363674
1970-05-08,42.5,-71.5,18.145777
1970-05-08,42.5,-70.5,15.326047
1970-05-09,41.5,-71.5,21.564445
1970-05-09,41.5,-70.5,19.290222
1970-05-09,42.5,-71.5,22.215828
1970-05-09,42.5,-70.5,18.9201
1970-05-10,41.5,-71.5,24.891674
1970-05-10,41.5,-70.5,21.781631
1970-05-10,42.5,-71.5,26.651886
1970-05-10,42.5,-70.5,22.096754
1970-05-11,41.5,-71.5,25.499975
1970-05-11,41.5,-70.5,22.597235
1970-05-11,42.5,-71.5,27.499475
1970-05-11,42.5,-70.5,22.850077
1970-05-12,41.5,-71.5,24.427088
1970-05-12,41.5,-70.5,21.701767
1970-05-12,42.5,-71.5,25.794676
1970-05-12,42.5,-70.5,21.08985
1970-05-13,41.5,-71.5,22.006618
1970-05-13,41.5,-70.5,18.89246
1970-05-13,42.5,-71.5,23.855568
1970-05-13,42.5,-70.5,18.363935
1970-05-14,41.5,-71.5,19.541182
1970-05-14,41.5,-70.5,16.67239
1970-05-14,42.5,-71.5,21.3707
1970-05-14,42.5,-70.5,16.412535
1970-05-15,41.5,-71.5,16.59818
1970-05-15,41.5,-70.5,14.5730505
1970-05-15,42.5,-71.5,18.584848
1970-05-15,42.5,-70.5,15.139719
1970-05-16,41.5,-71.5,16.726582
1970-05-16,41.5,-70.5,14.739992
1970-05-16,42.5,-71.5,18.4403
1970-05-16,42.5,-70.5,14.638313
1970-05-17,41.5,-71.5,16.47998
1970-05-17,41.5,-70.5,14.921169
1970-05-17,42.5,-71.5,18.002607
1970-05-17,42.5,-70.5,14.719795
1970-05-18,41.5,-71.5,14.883404
1970-05-18,41.5,-70.5,13.314698
1970-05-18,42.5,-71.5,16.189348
1970-05-18,42.5,-70.5,13.0975
1970-05-19,41.5,-71.5,15.519658
1970-05-19,41.5,-70.5,13.434844
1970-05-19,42.5,-71.5,16.643124
1970-05-19,42.5,-70.5,13.579482
1970-05-20,41.5,-71.5,20.57732
1970-05-20,41.5,-70.5,17.420984
1970-05-20,42.5,-71.5,21.794815
1970-05-20,42.5,-70.5,17.764828
1970-05-21,41.5,-71.5,20.384102
1970-05-21,41.5,-70.5,16.846333
1970-05-21,42.5,-71.5,22.44132
1970-05-21,42.5,-70.5,17.16896
1970-05-22,41.5,-71.5,20.46678
1970-05-22,41.5,-70.5,17.32942
1970-05-22,42.5,-71.5,24.474787
1970-05-22,42.5,-70.5,19.604603
1970-05-23,41.5,-71.5,21.022114
1970-05-23,41.5,-70.5,18.141832
1970-05-23,42.5,-71.5,24.398602
1970-05-23,42.5,-70.5,19.388367
1970-05-24,41.5,-71.5,19.28736
1970-05-24,41.5,-70.5,17.422432
1970-05-24,42.5,-71.5,21.953953
1970-05-24,42.5,-70.5,17.810978
1970-05-25,41.5,-71.5,17.674685
1970-05-25,41.5,-70.5,15.487841
1970-05-25,42.5,-71.5,19.324902
1970-05-25,42.5,-70.5,15.1362
1970-05-26,41.5,-71.5,17.34984
1970-05-26,41.5,-70.5,15.608484
1970-05-26,42.5,-71.5,18.821762
1970-05-26,42.5,-70.5,16.034489
1970-05-27,41.5,-71.5,19.511272
1970-05-27,41.5,-70.5,17.939655
1970-05-27,42.5,-71.5,21.03981
1970-05-27,42.5,-70.5,17.941252
