date,lat,lon,tmin
1970-04-13,42.5,-70.5,-2.0693212
1970-04-14,41.5,-71.5,-1.7875664
1970-04-14,41.5,-70.5,-3.130374
1970-04-14,42.5,-71.5,-1.4710696
1970-04-14,42.5,-70.5,-3.8121371
1970-04-15,41.5,-71.5,0.89018536
1970-04-15,41.5,-70.5,-1.3898232
1970-04-15,42.5,-71.5,-0.5291681
1970-04-15,42.5,-70.5,-3.3214204
1970-04-16,41.5,-71.5,-0.406098
1970-04-16,41.5,-70.5,-2.150046
1970-04-16,42.5,-71.5,-0.70643044
1970-04-16,42.5,-70.5,-3.444678
1970-04-17,41.5,-71.5,0.4699211
1970-04-17,41.5,-70.5,-2.0304585
1970-04-17,42.5,-71.5,2.862566
1970-04-17,42.5,-70.5,-1.3835192
1970-04-18,41.5,-71.5,2.0732443
1970-04-18,41.5,-70.5,0.4825483
1970-04-18,42.5,-71.5,3.3277497
1970-04-18,42.5,-70.5,0.46628252
1970-04-19,41.5,-71.5,-0.2774446
1970-04-19,41.5,-70.5,-1.6712705
1970-04-19,42.5,-71.5,0.17914152
1970-04-19,42.5,-70.5,-2.3445885
1970-04-20,41.5,-71.5,-1.232022
1970-04-20,41.5,-70.5,-3.440997
1970-04-20,42.5,-71.5,-1.5358553
1970-04-20,42.5,-70.5,-4.350785
1970-04-21,41.5,-71.5,1.9332938
1970-04-21,41.5,-70.5,-0.095056534
1970-04-21,42.5,-71.5,2.8073444
1970-04-21,42.5,-70.5,-0.40066525
1970-04-22,41.5,-71.5,2.123132
1970-04-22,41.5,-70.5,0.12375796
1970-04-22,42.5,-71.5,3.3526075
1970-04-22,42.5,-70.5,0.13225645
1970-04-23,41.5,-71.5,0.9873955
1970-04-23,41.5,-70.5,-0.8686945
1970-04-23,42.5,-71.5,1.5105729
1970-04-23,42.5,-70.5,-1.0996978
1970-04-24,41.5,-71.5,3.2891939
1970-04-24,41.5,-70.5,1.3360395
1970-04-24,42.5,-71.5,4.6242204
1970-04-24,42.5,-70.5,1.431705
1970-04-25,41.5,-71.5,5.42848
1970-04-25,41.5,-70.5,3.423718
1970-04-25,42.5,-71.5,6.598799
1970-04-25,42.5,-70.5,3.2900858
1970-04-26,41.5,-71.5,4.580514
1970-04-26,41.5,-70.5,2.2186613
1970-04-26,42.5,-71.5,4.281901
1970-04-26,42.5,-70.5,0.9112467
1970-04-27,41.5,-71.5,6.8691587
1970-04-27,41.5,-70.5,4.773359
1970-04-27,42.5,-71.5,8.097126
1970-04-27,42.5,-70.5,4.432656
1970-04-28,41.5,-71.5,8.231428
1970-04-28,41.5,-70.5,5.6777287
1970-04-28,42.5,-71.5,9.671429
1970-04-28,42.5,-70.5,5.6860256
1970-04-29,41.5,-71.5,6.09483
1970-04-29,41.5,-70.5,3.4207115
1970-04-29,42.5,-71.5,7.7515764
1970-04-29,42.5,-70.5,3.4270782
1970-04-30,41.5,-71.5,4.22025
1970-04-30,41.5,-70.5,1.120208
1970-04-30,42.5,-71.5,5.7419295
1970-04-30,42.5,-70.5,1.1609683
1970-05-01,41.5,-71.5,6.3838234
1970-05-01,41.5,-70.5,3.9007728
1970-05-01,42.5,-71.5,9.300956
1970-05-01,42.5,-70.5,5.085186
1970-05-02,41.5,-71.5,9.635792
1970-05-02,41.5,-70.5,7.0256076
1970-05-02,42.5,-71.5,13.257931
1970-05-02,42.5,-70.5,9.096425
1970-05-03,41.5,-71.5,8.053834
1970-05-03,41.5,-70.5,5.927065
1970-05-03,42.5,-71.5,9.717535
1970-05-03,42.5,-70.5,6.013364
1970-05-04,41.5,-71.5,5.9515624
1970-05-04,41.5,-70.5,3.8865023
1970-05-04,42.5,-71.5,6.403052
1970-05-04,42.5,-70.5,3.04753
1970-05-05,41.5,-71.5,3.4747763
1970-05-05,41.5,-70.5,1.4834502
1970-05-05,42.5,-71.5,5.89369
1970-05-05,42.5,-70.5,1.9811113
1970-05-06,41.5,-71.5,4.0347266
1970-05-06,41.5,-70.5,2.038986
1970-05-06,42.5,-71.5,5.670993
1970-05-06,42.5,-70.5,2.1886992
1970-05-07,41.5,-71.5,-0.10859108
1970-05-07,41.5,-70.5,-1.5742266
1970-05-07,42.5,-71.5,1.7146053
1970-05-07,42.5,-70.5,-1.3207002
1970-05-08,41.5,-71.5,3.0086646
1970-05-08,41.5,-70.5,1.1795454
1970-05-08,42.5,-71.5,4.4891806
1970-05-08,42.5,-70.5,1.0333121
1970-05-09,41.5,-71.5,8.506928
1970-05-09,41.5,-70.5,6.2060738
1970-05-09,42.5,-71.5,10.109206
1970-05-09,42.5,-70.5,6.070134
1970-05-10,41.5,-71.5,9.515133
1970-05-10,41.5,-70.5,6.623032
1970-05-10,42.5,-71.5,11.156385
1970-05-10,42.5,-70.5,6.7388144
1970-05-11,41.5,-71.5,11.72421
1970-05-11,41.5,-70.5,8.667563
1970-05-11,42.5,-71.5,14.894514
1970-05-11,42.5,-70.5,10.128689
1970-05-12,41.5,-71.5,10.772703
1970-05-12,41.5,-70.5,8.013765
1970-05-12,42.5,-71.5,12.732
1970-05-12,42.5,-70.5,8.203241
1970-05-13,41.5,-71.5,10.724471
1970-05-13,41.5,-70.5,7.3827085
1970-05-13,42.5,-71.5,12.822475
1970-05-13,42.5,-70.5,7.460869
1970-05-14,41.5,-71.5,8.751549
1970-05-14,41.5,-70.5,5.6127934
1970-05-14,42.5,-71.5,10.706397
1970-05-14,42.5,-70.5,5.9172754
1970-05-15,41.5,-71.5,4.7345033
1970-05-15,41.5,-70.5,1.8679526
1970-05-15,42.5,-71.5,5.9935694
1970-05-15,42.5,-70.5,1.4263027
